Name: Pressure reduced to MSL, Level: 0 meanSea, Units: Pa, Forecast Hour: 0
Name: Cloud mixing ratio, Level: 1 hybrid, Units: kg kg**-1, Forecast Hour: 0
Name: Ice water mixing ratio, Level: 1 hybrid, Units: kg kg**-1, Forecast Hour: 0
Name: Rain mixing ratio, Level: 1 hybrid, Units: kg kg**-1, Forecast Hour: 0
Name: Snow mixing ratio, Level: 1 hybrid, Units: kg kg**-1, Forecast Hour: 0
Name: Graupel (snow pellets), Level: 1 hybrid, Units: kg kg**-1, Forecast Hour: 0
Name: Derived radar reflectivity, Level: 1 hybrid, Units: dB, Forecast Hour: 0
Name: Derived radar reflectivity, Level: 2 hybrid, Units: dB, Forecast Hour: 0
Name: Maximum/Composite radar reflectivity, Level: 0 atmosphere, Units: dB, Forecast Hour: 0
Name: Visibility, Level: 0 surface, Units: m, Forecast Hour: 0
Name: U component of wind, Level: 0 planetaryBoundaryLayer, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 0 planetaryBoundaryLayer, Units: m s**-1, Forecast Hour: 0
Name: Ventilation Rate, Level: 0 planetaryBoundaryLayer, Units: m**2 s**-1, Forecast Hour: 0
Name: Wind speed (gust), Level: 0 surface, Units: m s**-1, Forecast Hour: 0
Name: Geopotential height, Level: 1 isobaricInPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 1 isobaricInPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 1 isobaricInPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 1 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 1 isobaricInPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 1 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 1 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 1 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 1 isobaricInPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 1 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 2 isobaricInPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 2 isobaricInPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 2 isobaricInPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 2 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 2 isobaricInPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 2 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 2 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 2 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 2 isobaricInPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 2 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 4 isobaricInPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 4 isobaricInPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 4 isobaricInPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 4 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 4 isobaricInPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 4 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 4 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 4 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 4 isobaricInPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 4 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 7 isobaricInPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 7 isobaricInPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 7 isobaricInPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 7 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 7 isobaricInPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 7 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 7 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 7 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 7 isobaricInPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 7 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 10 isobaricInPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 10 isobaricInPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 10 isobaricInPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 10 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 10 isobaricInPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 10 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 10 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 10 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 10 isobaricInPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 10 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 20 isobaricInPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 20 isobaricInPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 20 isobaricInPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 20 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 20 isobaricInPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 20 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 20 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 20 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 20 isobaricInPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 20 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 40 isobaricInPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 40 isobaricInPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 40 isobaricInPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 40 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 40 isobaricInPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 40 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 40 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 40 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 40 isobaricInPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 40 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 70 isobaricInPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 70 isobaricInPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 70 isobaricInPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 70 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 70 isobaricInPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 70 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 70 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 70 isobaricInPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 70 isobaricInPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 70 isobaricInPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 1 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 1 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 1 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 1 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 1 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 1 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 1 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 1 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 1 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 1 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 2 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 2 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 2 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 2 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 2 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 2 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 2 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 2 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 2 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 2 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 3 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 3 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 3 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 3 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 3 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 3 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 3 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 3 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 3 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 3 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 5 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 5 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 5 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 5 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 5 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 5 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 5 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 5 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 5 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 5 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 7 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 7 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 7 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 7 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 7 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 7 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 7 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 7 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 7 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 7 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 10 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 10 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 10 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 10 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 10 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 10 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 10 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 10 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 10 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 10 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 15 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 15 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 15 isobaricInhPa, Units: %, Forecast Hour: 0
Name: Specific humidity, Level: 15 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Vertical velocity, Level: 15 isobaricInhPa, Units: Pa s**-1, Forecast Hour: 0
Name: Geometric vertical velocity, Level: 15 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: U component of wind, Level: 15 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: V component of wind, Level: 15 isobaricInhPa, Units: m s**-1, Forecast Hour: 0
Name: Absolute vorticity, Level: 15 isobaricInhPa, Units: s**-1, Forecast Hour: 0
Name: Ozone mixing ratio, Level: 15 isobaricInhPa, Units: kg kg**-1, Forecast Hour: 0
Name: Geopotential height, Level: 20 isobaricInhPa, Units: gpm, Forecast Hour: 0
Name: Temperature, Level: 20 isobaricInhPa, Units: K, Forecast Hour: 0
Name: Relative humidity, Level: 20 isobaricInhPa, Units: %, Forecast Hour: 0
